,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
0,1,1,CLE,Andrew Wiggins,Kansas,6,454,16242,8943,1977,1065,.441,.332,.732,35.8,19.7,4.4,2.3,15.0,.044,-1.9,0.2
1,2,2,MIL,Jabari Parker,Duke,6,280,8193,4208,1614,585,.492,.324,.739,29.3,15.0,5.8,2.1,12.8,.075,-0.9,2.3
2,3,3,PHI,Joel Embiid,Kansas,4,202,6181,4864,2324,636,.479,.322,.794,30.6,24.1,11.5,3.1,22.4,.174,4.5,10.0
3,4,4,ORL,Aaron Gordon,Arizona,6,399,11414,5082,2553,951,.447,.318,.701,28.6,12.7,6.4,2.4,21.4,.090,-0.1,5.5
4,5,5,UTA,Dante Exum,,5,239,4429,1366,424,502,.407,.308,.766,18.5,5.7,1.8,2.1,3.1,.034,-3.3,-1.5
5,6,6,BOS,Marcus Smart,Oklahoma State,6,394,11409,3888,1409,1594,.374,.318,.774,29.0,9.9,3.6,4.0,20.3,.086,-0.3,4.9
6,7,7,LAL,Julius Randle,Kentucky,6,375,10934,6032,3375,1045,.493,.295,.724,29.2,16.1,9.0,2.8,20.5,.090,-0.5,4.1
7,8,8,SAC,Nik Stauskas,Michigan,5,335,6662,2272,688,513,.389,.353,.814,19.9,6.8,2.1,1.5,3.8,.028,-3.0,-1.7
8,9,9,CHH,Noah Vonleh,Indiana,6,332,5659,1655,1740,255,.460,.310,.692,17.0,5.0,5.2,0.8,9.3,.079,-2.3,-0.5
9,10,10,PHI,Elfrid Payton,LA-Lafayette,6,387,11350,4247,1703,2566,.452,.289,.625,29.3,11.0,4.4,6.6,14.9,.063,-0.5,4.3
10,11,11,DEN,Doug McDermott,Creighton,6,403,8040,3302,882,339,.465,.413,.825,20.0,8.2,2.2,0.8,13.6,.081,-2.1,-0.1
11,12,12,ORL,Dario Šarić,,4,298,7903,3625,1835,620,.437,.356,.835,26.5,12.2,6.2,2.1,13.9,.084,-0.8,2.4
12,13,13,MIN,Zach LaVine,UCLA,6,353,10857,6240,1279,1275,.447,.375,.819,30.8,17.7,3.6,3.6,12.0,.053,-0.6,3.8
13,14,14,PHO,T.J. Warren,NC State,6,322,9218,4894,1320,380,.504,.350,.777,28.6,15.2,4.1,1.2,18.3,.095,-0.4,3.6
14,15,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,.406,.254,.680,13.1,4.0,2.9,0.6,-0.6,-.019,-5.9,-1.4
15,16,16,CHI,Jusuf Nurkić,,5,310,7103,3608,2480,589,.491,.071,.666,22.9,11.6,8.0,1.9,16.4,.111,0.2,3.9
16,17,17,BOS,James Young,Kentucky,4,95,812,219,96,28,.367,.277,.563,8.5,2.3,1.0,0.3,0.8,.046,-3.4,-0.3
17,18,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,.419,.317,.768,12.6,4.2,1.3,1.9,1.3,.026,-3.4,-0.8
18,19,19,CHI,Gary Harris,Michigan State,6,368,10663,4459,961,779,.454,.360,.803,29.0,12.1,2.6,2.1,18.1,.082,-0.9,3.0
19,20,20,TOR,Bruno Caboclo,,6,96,1233,407,247,71,.397,.314,.836,12.8,4.2,2.6,0.7,1.5,.057,-2.4,-0.1
20,21,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-2.6,-0.1
21,22,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,.402,.385,.607,8.2,3.2,0.9,0.6,0.4,.070,1.7,0.2
22,23,23,UTA,Rodney Hood,Duke,6,341,9326,4247,980,645,.426,.372,.839,27.3,12.5,2.9,1.9,17.1,.088,-0.5,3.4
23,24,24,CHH,Shabazz Napier,UConn,6,340,5876,2382,645,840,.397,.346,.815,17.3,7.0,1.9,2.5,8.3,.068,-0.6,2.1
24,25,25,HOU,Clint Capela,,6,334,8674,4075,3243,324,.634,.000,.526,26.0,12.2,9.7,1.0,36.4,.201,1.9,8.6
25,26,26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,.343,.295,.810,18.0,6.0,2.4,0.5,0.9,.021,-3.9,-1.0
26,27,27,PHO,Bogdan Bogdanović,,3,201,5632,2674,637,694,.432,.370,.803,28.0,13.3,3.2,3.5,8.0,.068,-0.7,1.9
27,28,28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,.370,.333,.813,5.7,2.0,0.5,0.5,0.1,.007,-4.3,-0.2
28,29,29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,.346,.312,.240,14.1,2.5,2.4,0.3,0.7,.030,-3.5,-0.4
29,30,30,SAS,Kyle Anderson,UCLA,6,359,7022,1936,1428,704,.492,.307,.698,19.6,5.4,4.0,2.0,17.6,.120,1.4,6.1
30,,,,,,,,,,,,,,,,,,,,,,
31,Rk,,,,,,,,,,,,,,,,,,,,,
32,31,31,MIL,Damien Inglis,,1,20,156,36,31,10,.351,.231,.875,7.8,1.8,1.6,0.5,-0.1,-.024,-5.6,-0.1
33,32,32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,.412,.290,.776,14.1,5.3,2.2,0.6,1.3,.030,-2.8,-0.4
34,33,33,CLE,Joe Harris,Virginia,6,325,7860,3332,1014,521,.474,.423,.786,24.2,10.3,3.1,1.6,14.2,.087,-0.8,2.3
35,34,34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,.346,.263,.750,14.3,4.3,2.2,0.8,-0.6,-.039,-5.9,-0.8
36,35,35,UTA,Jarnell Stokes,Tennessee,3,28,151,67,40,7,.581,,.531,5.4,2.4,1.4,0.3,0.6,.202,0.1,0.1
37,36,36,MIL,Johnny O'Bryant,LSU,4,147,1684,509,352,69,.402,.360,.663,11.5,3.5,2.4,0.5,0.2,.006,-6.2,-1.8
38,37,37,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,,,,,
39,38,38,DET,Spencer Dinwiddie,Colorado,6,317,8162,4103,875,1578,.410,.318,.793,25.7,12.9,2.8,5.0,18.6,.109,0.4,4.8
40,39,39,PHI,Jerami Grant,Syracuse,6,447,10909,4111,1727,475,.463,.348,.666,24.4,9.2,3.9,1.1,22.3,.098,-0.9,3.1
41,40,40,MIN,Glenn Robinson,Michigan,6,279,4887,1664,721,218,.459,.372,.769,17.5,6.0,2.6,0.8,7.5,.074,-1.6,0.5
42,41,41,DEN,Nikola Jokić,,5,373,10819,6319,3609,2032,.524,.338,.825,29.0,16.9,9.7,5.4,48.0,.213,7.2,25.0
43,42,42,HOU,Nick Johnson,Arizona,1,28,262,74,39,11,.347,.238,.680,9.4,2.6,1.4,0.4,-0.1,-.020,-6.5,-0.3
44,43,43,ATL,Edy Tavares,,2,13,101,33,32,4,.625,,.273,7.8,2.5,2.5,0.3,0.2,.118,-0.4,0.0
45,44,44,MIN,Markel Brown,Oklahoma State,3,113,1794,584,234,132,.380,.295,.781,15.9,5.2,2.1,1.2,1.1,.029,-2.9,-0.4
46,45,45,CHH,Dwight Powell,Stanford,6,371,6956,2867,1711,364,.563,.293,.739,18.7,7.7,4.6,1.0,26.1,.180,1.5,6.1
47,46,46,WAS,Jordan Clarkson,Missouri,6,445,12054,6573,1404,1152,.447,.341,.818,27.1,14.8,3.2,2.6,14.0,.056,-0.7,3.9
48,47,47,PHI,Russ Smith,Louisville,2,27,131,53,15,19,.319,.188,.769,4.9,2.0,0.6,0.7,-0.2,-.068,-5.1,-0.1
49,48,48,MIL,Lamar Patterson,Pitt,2,40,435,93,57,45,.326,.236,.720,10.9,2.3,1.4,1.1,0.1,.006,-5.7,-0.4
50,49,49,CHI,Cameron Bairstow,New Mexico,2,36,167,44,36,7,.296,.200,.846,4.6,1.2,1.0,0.2,-0.1,-.021,-8.1,-0.3
51,50,50,PHO,Alec Brown,Green Bay,,,,,,,,,,,,,,,,,
52,51,51,NYK,Thanasis Antetokounmpo,,2,20,99,51,20,9,.550,.000,.467,5.0,2.6,1.0,0.5,0.2,.095,-1.9,0.0
53,52,52,PHI,Vasilije Micić,,,,,,,,,,,,,,,,,,
54,53,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,
55,54,54,PHI,Nemanja Dangubić,,,,,,,,,,,,,,,,,,
56,55,55,MIA,Semaj Christon,Xavier,1,64,973,183,87,130,.345,.190,.548,15.2,2.9,1.4,2.0,0.1,.006,-5.1,-0.8
57,56,56,DEN,Devyn Marble,Iowa,2,44,457,97,69,29,.304,.222,.375,10.4,2.2,1.6,0.7,-0.3,-.028,-5.5,-0.4
58,57,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,
59,58,58,SAS,Jordan McRae,Tennessee,4,123,1696,846,225,167,.417,.355,.772,13.8,6.9,1.8,1.4,1.7,.048,-2.1,0.0
60,59,59,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,,,,,
61,60,60,SAS,Cory Jefferson,Baylor,2,58,581,205,161,16,.444,.125,.583,10.0,3.5,2.8,0.3,0.9,.071,-3.3,-0.2
